doi,url,type,title,authors,author_count,year,journal,publisher,abstract,subjects,reference_count,cited_by_count,references,month
10.20944/preprints202501.1349.v1,https://doi.org/10.20944/preprints202501.1349.v1,posted-content,AI-Driven Demand Forecasting in Supply Chains: A Qualitative Analysis of Adoption and Impact,Jennifer Jones,1,2025,,MDPI AG,"<jats:p>This study investigates the adoption and impact of AI-driven demand forecasting in supply chain management, emphasizing the transformative potential of artificial intelligence (AI) in improving operational efficiency, forecast accuracy, and inventory management. With the increasing complexity of modern supply chains and the need for more accurate predictions, organizations are turning to AI technologies to address challenges such as market volatility, fluctuating consumer demands, and supply chain inefficiencies. The research highlights the factors driving AI adoption, including the desire for enhanced accuracy, proactive decision-making, and competitive advantage. It also explores the significant barriers organizations face during AI implementation, such as high initial costs, data quality issues, and a shortage of skilled professionals. Through thematic analysis, the study identifies key themes related to the drivers, challenges, and long-term benefits of AI-driven demand forecasting. The findings indicate that while AI offers substantial benefits, such as improved forecasting and optimized inventory levels, organizations must navigate complex challenges to successfully implement AI systems. These include overcoming data inconsistencies, addressing resistance to change, and ensuring the availability of necessary expertise. The study concludes by emphasizing the long-term advantages of AI adoption, including cost reductions, improved agility, and enhanced customer satisfaction, while highlighting the importance of strategic planning and investment in data infrastructure and talent development for successful AI integration in supply chains.</jats:p>",,0,1,0,1.0
10.48009/4_iis_2025_107,https://doi.org/10.48009/4_iis_2025_107,journal-article,Enhancing supply chain efficiency through AI-driven demand forecasting: a comprehensive analysis,,0,2025,Issues In Information Systems,International Association for Computer Information,,,0,0,0,
10.20944/preprints202507.0065.v1,https://doi.org/10.20944/preprints202507.0065.v1,posted-content,Comparative Analysis of Machine Learning and Deep Learning Models for Tourism Demand Forecasting with Economic Indicators,Ivanka Vasenska,1,2025,,MDPI AG,"<jats:p>This study addresses the critical need for accurate tourism demand forecasting in Bul-garia using economic indicators, particularly following COVID-19&amp;#039;s demonstration of the sector&amp;#039;s vulnerability to systemic disruptions. The research employs ensemble ma-chine and deep learning methodologies, combining Prophet with external regressors, Ridge regression, and gradient boosting models using inverse MAE weighting optimi-zation.
Using monthly overnight stay data from Bulgaria&amp;#039;s National Statistical Institute (2005-2024) integrated with COVID-19 cases and Consumer Price Index (CPI) indica-tors, the study reveals varying ensemble performance across different implementa-tions. Initial evaluation showed the ensemble model achieving MAE of 156,847, RMSE of 298,245, and MAPE of 14.23%, outperforming individual models by 10.2%. Howev-er, comprehensive testing revealed different characteristics: the Feedforward + Proph-et Ensemble performed best with MAE of 762,868 and MAPE of 58.02%, while tradi-tional Prophet (Seasonal Only) showed MAE of 910,000 and MAPE of 72.80%. Com-plex architectures like BiLSTM + MultiHead Attention achieved MAE of 875,129 but exhibited negative R² scores, suggesting overfitting.
Performance variation across evaluations highlights dataset dependency and con-text-specific model selection importance. The ensemble approach consistently main-tained competitive performance, providing enhanced forecasting capability for tour-ism stakeholders&amp;#039; investment planning, marketing budgets, and operational capacity decisions. Economic indicator integration effectively captures structural breaks in tourism patterns, offering practical insights for robust demand forecasting during economic volatility.</jats:p>",,0,0,0,7.0
10.21203/rs.3.rs-6801470/v1,https://doi.org/10.21203/rs.3.rs-6801470/v1,posted-content,Study of Demand Forecasting Using Time-Series Analysis (ARIMA),Vivek Kumar Pathak; Tanmay tiwari; Marmik Chaurasia; Gyanendra Bagri,4,2025,,Springer Science and Business Media LLC,"<title>Abstract</title>
        <p>Demand forecasting plays a pivotal role in the manufacturing industry, influencing inventory management, production planning, and operational efficiency. This research explores the application of time series analysis, specifically the Auto Regressive Integrated Moving Average (ARIMA) model, in forecasting demand within the manufacturing sector. The study aims to assess the effectiveness of the ARIMA model in predicting demand patterns, addressing the challenges posed by dynamic market conditions and fluctuating consumer preferences. By analyzing historical data and employing the ARIMA methodology, this research seeks to provide insights into the accuracy and reliability of demand forecasts in the manufacturing industry. The findings of this study contribute to enhancing decision-making processes, optimizing resource distribution, and improving supply chain management (scm) strategies in manufacturing enterprises.</p>",,0,0,0,6.0
10.2139/ssrn.4999156,https://doi.org/10.2139/ssrn.4999156,posted-content,"Market Analysis for the Noida International Airport: Identifying Potential Airline Partners, Route Strategies, and Passenger Demand Forecasting",Neha Bhatia,1,2024,,Elsevier BV,,,16,0,16,10.0
10.56726/irjmets35708,https://doi.org/10.56726/irjmets35708,journal-article,ELECTRICITY DEMAND FORECASTING USING TIME SERIES ANALYSIS,,0,2023,International Research Journal of Modernization in Engineering Technology and Science,International Research Journal of Modernization in Engineering Technology and Science,,,0,0,0,4.0
10.4324/9781003269366-1,https://doi.org/10.4324/9781003269366-1,book-chapter,Overview of econometric tourism demand modelling and forecasting,Haiyan Song; Hongrun Wu,2,2022,Econometric Modelling and Forecasting of Tourism Demand,Routledge,,,0,0,0,9.0
10.2139/ssrn.4912952,https://doi.org/10.2139/ssrn.4912952,posted-content,Integrating Cmstt And Survival Analysis for Event-Driven Natural Gas Price Forecasting,XU Jia; Guozhu Jia,2,2024,,Elsevier BV,,,0,0,0,8.0
10.59646/csc25/253,https://doi.org/10.59646/csc25/253,book-chapter,Predictive Sales Forecasting: Jubilant Bhartia’s Demand Forecasting Model,,0,2024,Case Studies in Business Management,San International Scientific Publications,,,0,0,0,8.0
10.20944/preprints202504.2001.v1,https://doi.org/10.20944/preprints202504.2001.v1,posted-content,Efficient Adverse Event Forecasting in Clinical Trials via Transformer-Augmented Survival Analysis,Yachen Wang,1,2025,,MDPI AG,"<jats:p>With the in-depth application of generative AI in clinical statistical processes, the TFL (Table-Figure-Listing) automation platform and macro system have significantly shortened the reporting cycle and improved data quality with unsupervised anomaly detection, laying a clean data foundation for adverse event risk modeling for time-event prediction. On the basis that AI-driven TFL automation and outlier cleaning have significantly improved data quality, we propose Segmented Relative Positional Encoding-Transformer Survival Network (SRPE-TSN): this method only introduces the key improvement of ""segmented relative time embedding"" on existing Transformer survival models such as SurvTRACE. The longitudinal event sequence of patients was divided into learnable time periods according to clinical milestones, and the relative position information was used to guide multi-head attention to focus on risk signals at different time scales, so as to take into account both right-censored processing and long-term dependency capture. SRPE-TSN increased the 12-month adverse event time-dependent AUC from 0.71 to 0.80 on data from four phase III oncology and cardiovascular trials. </jats:p>",,0,0,0,4.0
10.1002/9781119809890.ch5,https://doi.org/10.1002/9781119809890.ch5,other,AI/Machine Learning Is Disrupting Demand Forecasting,,0,2021,Consumption‐Based Forecasting and Planning,Wiley,,,0,1,0,8.0
10.2139/ssrn.5292838,https://doi.org/10.2139/ssrn.5292838,posted-content,Forecasting the All-Time Demand -- a Gaussian Process Hierarchical Growth Model Approach and Empirical Analysis,Julius Mehringer; Luca Rendsburg; Benedikt Sonnleitner,3,2025,,Elsevier BV,,,0,0,0,6.0
10.24818/18423264/59.2.25.18,https://doi.org/10.24818/18423264/59.2.25.18,journal-article,Comparison of Demand Forecasting Methods for Global and Local Demand: The Case of Classic Literature Demand Forecasting,KOLKOVÁ Andrea,1,2025,ECONOMIC COMPUTATION AND ECONOMIC CYBERNETICS STUDIES AND RESEARCH,Bucharest University of Economic Studies,,,0,0,0,6.0
10.20944/preprints202101.0375.v1,https://doi.org/10.20944/preprints202101.0375.v1,posted-content,Analysis and Modeling for Cold Chain Logistics of Agricultural Products Demand Forecasting,Siyuan Wen; Jiankun Li; Rui Wang; Hao Liu,4,2021,,MDPI AG,"<jats:p>Cold chain logistics of Agricultural Products demand forecasting can provide the scientific basis for the country to formulate logistics strategy, which further promotes the development of social economy and the improvement of living standards in China. In this paper, a new mathematical combined model is proposed to Agricultural Products Demand. Shandong, one of a China’s province, serves as the main producer and distributor of agricultural products. Based on the index system created from multiple related factors influencing cold chain logistics demand of agricultural products in Shandong, this paper employs principal component analysis to reduce the dimension of various indexes and predicts principal components with time series. Thereafter, multiple linear regression model and neural network model were constructed to forecast the cold chain logistics demand of agricultural products in Shandong, and their combined forecast models were compared. What's more, the paper provides insight for reference and decision-making concerning the development of cold chain logistics industry of agricultural products in Shandong province.</jats:p>",,0,0,0,1.0
10.21275/sr241005193553,https://doi.org/10.21275/sr241005193553,journal-article,Artificial Intelligence Methods for Demand Forecasting,Manikandan Natarajan,1,2024,International Journal of Science and Research (IJSR),International Journal of Science and Research,,,0,0,0,10.0
10.47191/ijcsrr/v6-i2-20,https://doi.org/10.47191/ijcsrr/v6-i2-20,journal-article,The Role of Demand Forecasting Analysis (Case Study: Bio Farma for Papua Area),Laras Puspita Sari; Togar M. Simatupang,2,2023,International Journal of Current Science Research and Review,Everant Journals,"<jats:p>Bio Farma as the only vaccine manufacturer in Indonesia, divides its marketing area for vaccine distribution throughout Indonesia, represented by marketing representatives in 34 provinces in Indonesia. Segmentation based on geography for vaccine products is divided into five regions, one of the region is Papua. The forecast method used in Bio Farma for Papua Area is still manual. Marketers order vaccines from central Bio Farma and make forecasts if product stock is empty. If the product is empty, a buffer stock will be created. With the buffer stock system that has been implemented so far, there are often problems with excess product which causes the product to expire. From the data, the total loss due to overstock is Rp. 14,161,693 in 2022. If consumer demand falls short of expectations, it will definitely have an impact on the manufacturing of high inventory value, even leading to lost opportunities for sales. That is the fundamental issue with this research. The goal of this research is to identify the possible causes for the overstock and to identify a suitable solution for those issues.  There are five things consist of root causes the problem; (1) fully manual forecasting, (2) low sales forecast accuracy, (3) sales forecasting based on sales of the last one or two months, (4) lack of employee knowledge about sales forecasting, (5) significant gap between target and actual sales. The alternate strategy recommended is to provide a forecasting technique that is suitable for the company. Different forecasting techniques were selected to be compared in order to determine which may be used to improve forecasting accuracy. The forecasting techniques that are employed are the 3-month simple moving average, the 5-month simple moving average, the 3-month weighted moving average, the 5-month weighted moving average, and exponential smoothing. By using the MAD and MAPE measurement tools, exponential smoothing showed the most acceptable accuracy result.</jats:p>",,0,0,0,2.0
10.20944/preprints202307.0789.v1,https://doi.org/10.20944/preprints202307.0789.v1,posted-content,Short-term Electricity Demand Forecasting using Deep Neural Networks: An analysis for Thai data,Kamal Chapagain; Samundra Gurung; Pisut Kulthanavit; Somsak Kittipiyakul,4,2023,,MDPI AG,"<jats:p>Electricity demand forecasting plays a significant role in energy markets. Accurate prediction of electricity demand is the key factor to optimize power generation, consumption, saving energy resources, and determining the energy prices. However, integrating energy mix scenarios, including solar and wind power which are highly non-linear and seasonal, into an existing grid increases uncertainty in generation, adds the challenges for precise forecast. To tackle these challenges, state-of-the-art methods and algorithms have been implemented in literature. We have developed Artificial Intelligence (AI) based deep learning models that can effectively handle the information of long time-series data. Based on the pattern of dataset, four different scenarios were developed and two best scenarios were selected for prediction. Dozens of models were developed and tested in deep AI networks. In the first scenario (Scenario1), data for weekdays excluding holidays was taken and in the second scenario (Scenario2) all the data in the basket was taken. Remaining two scenarios, weekends and holidays were tested and neglected because of their high prediction error. To find the optimal configuration, models were trained and tested within a large space of alternatives called hyper-parameters. In this study, an Aritificial Neural Network (ANN) based Feed-forward Neural Network (FNN) showed the minimum prediction error for Scenario1 while a Recurrent Neural Network (RNN) based Gated Recurrent Network (GRU) showed the minimum prediction error for Scenario2. While comparing the accuracy, the lowest MAPE of 2.47% was obtained from FNN for Scenario1. When evaluating the same testing dataset (non-holidays) of Scenario2, the RNN-GRU model achieved the lowest MAPE of 2.71%. Therefore, we can conclude that grouping of weekdays as Senario1 prepared by excluding the holidays provides better forecasting accuracy compared to the single group approach used in Scenario2, where all the dataset is considered together. However, Scenario2 is equally important to predict the demand for weekends and holidays.</jats:p>",,0,2,0,7.0
10.1061/9780784484265.273,https://doi.org/10.1061/9780784484265.273,proceedings-article,Short-Term Demand Forecasting Analysis Based on Public Bicycle IC Card Data,Han Chen; Shengrui Zhang,2,2022,CICTP 2022,American Society of Civil Engineers,,,0,0,0,9.0
10.1002/9781119135289.ch4,https://doi.org/10.1002/9781119135289.ch4,other,Demand Distributions,,0,2021,Intermittent Demand Forecasting,Wiley,,,7,0,7,7.0
10.4324/9781003269366-9,https://doi.org/10.4324/9781003269366-9,book-chapter,Density forecasting,Long Wen,1,2022,Econometric Modelling and Forecasting of Tourism Demand,Routledge,,,0,0,0,9.0
10.53067/ijebef.v2i3.82,https://doi.org/10.53067/ijebef.v2i3.82,journal-article,DEMAND FORECASTING ANALYSIS WITH DESCRIPTIVE METHODS AND QUALITATIVE APPROACHES TO THE SALE OF BATIK CLOTHING PRODUCTS,Tabroni Tabroni,1,2022,"Indonesian Journal of Economy, Business, Entrepreneuship and Finance",Yayasan Education and Social Center,"<jats:p>The purpose of this analysis is to forecast the sales demand for batik clothes in CIA stores. Storeid uses a descriptive method and a qualitative approach. The data used in this study is primary data in the form of interviews with Business Managers and secondary data in the form of actual sales data for August 2021 - January 2022. There are 3 steps used, namely tabulating sales data in a predetermined period, the second is evaluating tabulation results in graphical form and the last one makes conclusions based on existing data and observations with business owners.
The results of this study showed that sales at CIA stores fluctuated where the highest sales were obtained in September where there were 10 long sleeves and 15 short sleeves, while the lowest sales were obtained in December 2021 for long sleeves and in January 2022 for short sleeves. 1 piece. From the results of the analysis, the author concludes that the fluctuating sales results are caused by 3 things, the first is due to the pandemic period which made people implement PSBB, the second is due to technological developments which have caused the spread of market places such as shopee, tokopedia, Bukalapak etc. and the last is due to the use of clothes batik that is only used for certain occasions so that the purchase intensity is low</jats:p>",,0,0,0,12.0
10.7249/tl365,https://doi.org/10.7249/tl365,edited-book,Forecasting Demand for U.S. Ground Forces: An Interactive Tool,,0,2022,,RAND Corporation,,,0,0,0,
10.47191/ijmra/v8-i11-24,https://doi.org/10.47191/ijmra/v8-i11-24,journal-article,Efficient on Demand Forecasting using Optimised Recurrent Neural Network Approach for Biotech,Sravan Katragadda,1,2025,INTERNATIONAL JOURNAL OF MULTIDISCIPLINARY RESEARCH AND ANALYSIS,Everant Journals,"<jats:p>Biotechnology is a cross-functional field that involves the creation of biological products, process optimization, and sustainable use of resources. Deep learning (DL) has recently gained popularity in the biotechnology industry for solving problems such as production optimization, production demand forecasting, and process monitoring. However, classic DL methods suffer from overfitting, are inflexible to new data, and cannot handle contaminated or missing data. This research paper aims to address these shortcomings by proposing a robust predictive workflow based on an RNN-based framework and the best learning techniques. To resolve the issues, the proposed method, a combination of Transformer and Graph Attention Network (GAT), works together to facilitate the long-term prediction of temporal and interdependent features for biotechnology demand forecasting. Additionally, Self-supervised learning (SSL) is used to preprocess the data, allowing the model to learn the latent structure and improve the original dataset. Furthermore, AutoML then uses reinforcement learning (AutoMLRL) to select the most relevant demand-related features and remove redundancies. Finally, model training using RNN + Meta-Learning (MAML) is then applied as part of the workflow to learn temporal dependencies and adapt to different datasets. Finally, the presented method robustly forecasts demand, predicting future production rates, resource requirements, and operational conditions with a high accuracy of 93%.</jats:p>",,0,0,0,11.0
10.21203/rs.3.rs-4298143/v1,https://doi.org/10.21203/rs.3.rs-4298143/v1,posted-content,Rider Re-Route Suggestions Using Demand Forecasting Based on Passenger's Routes and User Behaviour Analysis,Dharun.V.S; Bairavel S; Suriyalakshmi.V.C; Sricharan.A; Kanipriya M,5,2024,,Springer Science and Business Media LLC,"<title>Abstract</title>
        <p>This project explores the optimization of ride-sharing in urban transportation through data analysis and internet networking. It aims to revolutionize commuting habits by connecting riders and passengers via an intelligent platform, suggesting alternative routes based on demand. By addressing the issue of lone commuters, the project aims to enhance urban mobility efficiency, reduce trip costs, and promote sustainability. Divided into components for rider and passenger registration, demand forecasts, matchmaking, and route optimization, the project showcases significant results. The suggested deviations offer comparable travel times, substantial cost savings, and increased customer satisfaction. This initiative aligns with environmental goals by reducing single-occupancy car use. Additionally, the project delves into analyzing user behavior within the ride-sharing platform, utilizing data analytics and vehicle telemetry. Leveraging K-Means clustering, it classifies behavior patterns to anticipate future actions and enhance user experiences while contributing to vehicle health management and safety. The proposed solution integrates feature engineering, behavior classification, and automation modules supported by robust database design and implemented using React JS, Python, and Node.js. The algorithm employs preprocessing, optimal K determination, and K-Means clustering for behavior analysis, leading to actionable insights and targeted interventions. Through simulation tools and real-time implementation, the project demonstrates its potential to optimize user engagement, enhance safety, and boost service efficiency, marking a data-driven shift in urban transportation paradigms.</p>",,0,0,0,4.0
10.17163/ab.39.266,https://doi.org/10.17163/ab.39.266,book-chapter,Time Series Analysis for Electrical Demand Forecasting,Manuel Jaramillo,1,2024,Digital Technology for Smart Grid: Innovative Algorithmic Solutions for Engineering Problems,Editorial Abya-Yala,,,0,0,0,1.0
10.3390/en16020827,https://doi.org/10.3390/en16020827,journal-article,Analysis and Forecasting of Monthly Electricity Demand Time Series Using Pattern-Based Statistical Methods,Paweł Pełka,1,2023,Energies,MDPI AG,"<jats:p>This article provides a solution based on statistical methods (ARIMA, ETS, and Prophet) to predict monthly power demand, which approximates the relationship between historical and future demand patterns. The energy demand time series shows seasonal fluctuation cycles, long-term trends, instability, and random noise. In order to simplify the prediction issue, the monthly load time series is represented by an annual cycle pattern, which unifies the data and filters the trends. A simulation study performed on the monthly electricity load time series for 35 European countries confirmed the high accuracy of the proposed models.</jats:p>",,44,36,44,1.0
10.1109/icaibd57115.2023.10206072,https://doi.org/10.1109/icaibd57115.2023.10206072,proceedings-article,Analysis and Demand Forecasting Based On e-Commerce Data,Tiantian Tang,1,2023,2023 6th International Conference on Artificial Intelligence and Big Data (ICAIBD),IEEE,,,12,2,12,5.0
10.1016/j.ijforecast.2020.12.004,https://doi.org/10.1016/j.ijforecast.2020.12.004,journal-article,Optimal model averaging forecasting in high-dimensional survival analysis,Xiaodong Yan; Hongni Wang; Wei Wang; Jinhan Xie; Yanyan Ren; Xinjun Wang,6,2021,International Journal of Forecasting,Elsevier BV,,,43,18,43,7.0
10.1002/9781119135289.ch5,https://doi.org/10.1002/9781119135289.ch5,other,Compound Demand Distributions,,0,2021,Intermittent Demand Forecasting,Wiley,,,24,0,24,7.0
10.1201/9781003399599-13,https://doi.org/10.1201/9781003399599-13,book-chapter,Forecasting hierarchies,Stephan Kolassa; Bahman Rostami-Tabar; Enno Siemsen,3,2023,Demand Forecasting for Executives and Professionals,Chapman and Hall/CRC,,,0,0,0,7.0
10.1201/9781003399599-18,https://doi.org/10.1201/9781003399599-18,book-chapter,Forecasting competitions,Stephan Kolassa; Bahman Rostami-Tabar; Enno Siemsen,3,2023,Demand Forecasting for Executives and Professionals,Chapman and Hall/CRC,,,0,0,0,7.0
10.1007/978-3-031-14197-3_15,https://doi.org/10.1007/978-3-031-14197-3_15,book-chapter,Forecasting High-Frequency Electricity Demand in Uruguay,Bibiana Lanzilotta; Silvia Rodríguez-Collazo,2,2023,Contributions to Statistics,Springer International Publishing,,,20,0,20,
10.3390/en13102498,https://doi.org/10.3390/en13102498,journal-article,Short-Term Electricity Demand Forecasting: Impact Analysis of Temperature for Thailand,Kamal Chapagain; Somsak Kittipiyakul; Pisut Kulthanavit,3,2020,Energies,MDPI AG,"<jats:p>Accurate electricity demand forecasting for a short horizon is very important for day-to-day control, scheduling, operation, planning, and stability of the power system. The main factors that affect the forecasting accuracy are deterministic variables and weather variables such as types of days and temperature. Due to the tropical climate of Thailand, the marginal impact of weather variables on electricity demand is worth analyzing. Therefore, this paper primarily focuses on the impact of temperature and other deterministic variables on Thai electricity demand. Accuracy improvement is also considered during model design. Based on the characteristics of demand, the overall dataset is divided into four different subgroups and models are developed for each subgroup. The regression models are estimated using Ordinary Least Square (OLS) methods for uncorrelated errors, and General Least Square (GLS) methods for correlated errors, respectively. While Feed Forward Artificial Neural Network (FF-ANN) as a simple Deep Neural Network (DNN) is estimated to compare the accuracy with regression methods, several experiments conducted for determination of training length, selection of variables, and the number of neurons show some major findings. The first finding is that regression methods can have better forecasting accuracy than FF-ANN for Thailand’s dataset. Unlike much existing literature, the temperature effect on Thai electricity demand is very interesting because of their linear relationship. The marginal impacts of temperature on electricity demand are also maximal at night hours. The maximum impact of temperature during night hours happens at 11 p.m., is 300 MW/     °    C, about     4 %     rise in demand while during day hours, the temperature impact is only 10 MW/     °    C to 200 MW/     °    C about     1.4 %     to     2.6 %     rise.</jats:p>",,70,37,70,5.0
10.2139/ssrn.6030995,https://doi.org/10.2139/ssrn.6030995,posted-content,Market Demand Analysis and Forecasting Through Applied Econometrics: Empirical Research in the Public Transit Sector in the Toronto City Area (1969–2019),Jeremy Taty,1,2026,,Elsevier BV,,,0,0,0,1.0
