doi,title,authors,author_count,year,month,journal,publisher,abstract,subjects,type,url,source,relevance_score,relevance_flags
,"Explainability, risk modeling, and segmentation based customer churn analytics for personalized retention in e-commerce",Indrajith Ekanayake; Sanjula De Alwis,2,2025,10,arXiv,arXiv,"In online retail, customer acquisition typically incurs higher costs than customer retention, motivating firms to invest in churn analytics. However, many contemporary churn models operate as opaque black boxes, limiting insight into the determinants of attrition, the timing of retention opportunities, and the identification of high-risk customer segments. Accordingly, the emphasis should shift from prediction alone to the design of personalized retention strategies grounded in interpretable evidence. This study advances a three-component framework that integrates explainable AI to quantify feature contributions, survival analysis to model time-to-event churn risk, and RFM profiling to segment customers by transactional behaviour. In combination, these methods enable the attribution of churn drivers, estimation of intervention windows, and prioritization of segments for targeted actions, thereby supporting strategies that reduce attrition and strengthen customer loyalty.",cs.AI,preprint,http://arxiv.org/abs/2510.11604v2,arXiv,8,survival:survival analysis; survival:time-to-event; forecasting:customer churn; forecasting:customer retention
,Self-Consistent Equation-guided Neural Networks for Censored Time-to-Event Data,Sehwan Kim; Rui Wang; Wenbin Lu,3,2025,3,arXiv,arXiv,"In survival analysis, estimating the conditional survival function given predictors is often of interest. There is a growing trend in the development of deep learning methods for analyzing censored time-to-event data, especially when dealing with high-dimensional predictors that are complexly interrelated. Many existing deep learning approaches for estimating the conditional survival functions extend the Cox regression models by replacing the linear function of predictor effects by a shallow feed-forward neural network while maintaining the proportional hazards assumption. Their implementation can be computationally intensive due to the use of the full dataset at each iteration because the use of batch data may distort the at-risk set of the partial likelihood function. To overcome these limitations, we propose a novel deep learning approach to non-parametric estimation of the conditional survival functions using the generative adversarial networks leveraging self-consistent equations. The proposed method is model-free and does not require any parametric assumptions on the structure of the conditional survival function. We establish the convergence rate of our proposed estimator of the conditional survival function. In addition, we evaluate the performance of the proposed method through simulation studies and demonstrate its application on a real-world dataset.",stat.ML; cs.LG; stat.ME,preprint,http://arxiv.org/abs/2503.09097v1,arXiv,8,survival:survival analysis; survival:time-to-event; survival:cox regression; survival:survival function
10.56427/jcbd.v5i1.792,Beyond Binary Classification: Time-to-Event Modeling for Player Retention Using Cox Proportional Hazards and Ensemble Learning,Md. Wira Putra Dananjaya,1,2026,1.0,Journal of Computers and Digital Business,PT Delitekno Media Mandiri,"<jats:p>Player retention is the primary economic driver in the Free-to-Play (F2P) gaming industry, yet traditional churn prediction methodologies often rely solely on binary classification, neglecting the critical temporal dimension of when a player is likely to leave. Furthermore, the scarcity of open-source behavioral datasets restricts the development of reproducible academic frameworks. This study addresses these gaps by proposing a hybrid analytical framework that integrates Ensemble Learning (XGBoost) for predictive precision and Survival Analysis (Cox Proportional Hazards) for time-to-event risk modeling, utilizing a realistically simulated dataset of 5,000 players. Experimental results indicate that while the XGBoost model achieves robust discriminative stability with an AUC of roughly 0.90, the Survival Analysis provides deeper explanatory insights, revealing that game progression (level_reached) is a significantly more dominant determinant of retention (Hazard Ratio &lt; 1.0) than short-term recency metrics. These findings suggest that depth of commitment acts as a stronger buffer against churn than login frequency, offering game developers a quantifiable basis to shift retention strategies from generic daily incentives to progression-based milestones. By openly providing the simulated dataset and full analytical pipeline, this work also contributes a reproducible methodological template for future game analytics research in data-scarce environments.</jats:p>",,journal-article,https://doi.org/10.56427/jcbd.v5i1.792,CrossRef,8,survival:survival analysis; survival:time-to-event; survival:cox proportional hazard; forecasting:churn prediction
,"Survival Analysis Revisited: Understanding and Unifying Poisson, Exponential, and Cox Models in Fall Risk Analysis",Tianhua Chen,1,2025,1,arXiv,arXiv,"This paper explores foundational and applied aspects of survival analysis, using fall risk assessment as a case study. It revisits key time-related probability distributions and statistical methods, including logistic regression, Poisson regression, Exponential regression, and the Cox Proportional Hazards model, offering a unified perspective on their relationships within the survival analysis framework. A contribution of this work is the step-by-step derivation and clarification of the relationships among these models, particularly demonstrating that Poisson regression in the survival context is a specific case of the Cox model. These insights address gaps in understanding and reinforce the simplicity and interpretability of survival models. The paper also emphasizes the practical utility of survival analysis by connecting theoretical insights with real-world applications. In the context of fall detection, it demonstrates how these models can simultaneously predict fall risk, analyze contributing factors, and estimate time-to-event outcomes within a single streamlined framework. In contrast, advanced deep learning methods often require complex post-hoc interpretation and separate training for different tasks particularly when working with structured numerical data. This highlights the enduring relevance of classical statistical frameworks and makes survival models especially valuable in healthcare settings, where explainability and robustness are critical. By unifying foundational concepts and offering a cohesive perspective on time-to-event analysis, this work serves as an accessible resource for understanding survival models and applying them effectively to diverse analytical challenges.",cs.LG; cs.AI,preprint,http://arxiv.org/abs/2501.03058v1,arXiv,8,survival:survival analysis; survival:survival model; survival:time-to-event; survival:cox proportional hazard
,Clustering Survival Data using a Mixture of Non-parametric Experts,Gabriel Buginga; Edmundo de Souza e Silva,2,2024,5,arXiv,arXiv,"Survival analysis aims to predict the timing of future events across various fields, from medical outcomes to customer churn. However, the integration of clustering into survival analysis, particularly for precision medicine, remains underexplored. This study introduces SurvMixClust, a novel algorithm for survival analysis that integrates clustering with survival function prediction within a unified framework. SurvMixClust learns latent representations for clustering while also predicting individual survival functions using a mixture of non-parametric experts. Our evaluations on five public datasets show that SurvMixClust creates balanced clusters with distinct survival curves, outperforms clustering baselines, and competes with non-clustering survival models in predictive accuracy, as measured by the time-dependent c-index and log-rank metrics.",cs.LG; stat.ML,preprint,http://arxiv.org/abs/2405.15934v1,arXiv,8,survival:survival analysis; survival:survival model; survival:survival function; forecasting:customer churn
,SurvHive: a package to consistently access multiple survival-analysis packages,Giovanni Birolo; Ivan Rossi; Flavio Sartori; Cesare Rollo; Tiziana Sanavia; Piero Fariselli,6,2025,2,arXiv,arXiv,"Survival analysis, a foundational tool for modeling time-to-event data, has seen growing integration with machine learning (ML) approaches to handle the complexities of censored data and time-varying risks. Despite these advances, leveraging state-of-the-art survival models remains a challenge due to the fragmented nature of existing implementations, which lack standardized interfaces and require extensive preprocessing. We introduce SurvHive, a Python-based framework designed to unify survival analysis methods within a coherent and extensible interface modeled on scikit-learn. SurvHive integrates classical statistical models with cutting-edge deep learning approaches, including transformer-based architectures and parametric survival models. Using a consistent API, SurvHive simplifies model training, evaluation, and optimization, significantly reducing the barrier to entry for ML practitioners exploring survival analysis. The package includes enhanced support for hyper-parameter tuning, time-dependent risk evaluation metrics, and cross-validation strategies tailored to censored data. With its extensibility and focus on usability, SurvHive provides a bridge between survival analysis and the broader ML community, facilitating advancements in time-to-event modeling across domains. The SurvHive code and documentation are available freely at https://github.com/compbiomed-unito/survhive.",q-bio.QM; cs.LG,preprint,http://arxiv.org/abs/2502.02223v1,arXiv,8,survival:survival analysis; survival:survival model; survival:time-to-event; survival:censored data
10.54103/2282-0930/29395,The Impact of Violation of the Proportional Hazards Assumption on the Calibration of the Cox Proportional Hazards Model,Peter Austin; Daniele Giardiello,2,2025,9.0,"Epidemiology, Biostatistics, and Public Health",Milano University Press,"<jats:p>INTRODUCTION
The Cox proportional hazards regression model is frequently used to develop clinical prediction models for time-to-event outcomes, allowing clinicians to estimate an individual’s risk of experiencing the outcome within specified time horizons (e.g., estimate an individual’s 10-year risk of death) [1]. A key assumption of the Cox model is the proportional hazards assumption: the ratio of the hazard function for any two individuals is constant over time and the ratio is a function only of their covariates and the regression coefficients [2]. Although the impact of violation of proportional hazard assumption has been largely investigated to assess the magnitude of treatment effects especially in randomized clinical trials, less is known about the impact of violation of proportional hazard assumption in assessing reliable estimated predictions and their correspondence performances [3, 4, 5]. Calibration is an important aspect of the validation of clinical prediction models: it refers to the agreement between predicted and observed risk [6]. We evaluated the impact of the violation of the proportional hazards assumption on the calibration of clinical prediction models developed using the Cox model through Monte Carlo simulations.
METHODS
We conducted a set of Monte Carlo simulations to assess the impact of the magnitude of the violation of the proportional hazards assumption on the calibration of the Cox model. We compared the calibration of predictions obtained using a Cox regression model with those obtained using accelerated failure time (AFT) models, Royston and Parmar’s spline-based parametric survival models, and generalized linear models using pseudo-observations. Calibration performances were evaluated through different metrics such as the O-P ratio, Observed/Predicted ratio; ICI, Integrated Calibration Index; E50, E90 and calibration curves.
RESULTS
We found that violation of the proportional hazards assumption had generally a negligible impact on the calibration of predictions obtained using a Cox model using calibration measures.
CONCLUSIONS
The magnitude of the violation of the proportional hazards assumption had, at most, a minor impact on the calibration of the Cox regression model. The use of well-known alternative methods such as AFT parametric survival models did not result in improved calibration compared to the use of the Cox model. However, future research might provide more detailed insights about potential alternatives such as the use of generalized linear models through pseudo-observations and spline-based flexible parametric models.
 </jats:p>",,journal-article,https://doi.org/10.54103/2282-0930/29395,CrossRef,7,survival:survival model; survival:time-to-event; survival:cox proportional hazard; survival:cox regression; survival:hazard function; causal:treatment effect; EXCLUDE:clinical trial
,Deep Nonparametric Inference for Conditional Hazard Function,Wen Su; Kin-Yat Liu; Guosheng Yin; Jian Huang; Xingqiu Zhao,5,2024,10,arXiv,arXiv,"We propose a novel deep learning approach to nonparametric statistical inference for the conditional hazard function of survival time with right-censored data. We use a deep neural network (DNN) to approximate the logarithm of a conditional hazard function given covariates and obtain a DNN likelihood-based estimator of the conditional hazard function. Such an estimation approach renders model flexibility and hence relaxes structural and functional assumptions on conditional hazard or survival functions. We establish the nonasymptotic error bound and functional asymptotic normality of the proposed estimator. Subsequently, we develop new one-sample tests for goodness-of-fit evaluation and two-sample tests for treatment comparison. Both simulation studies and real application analysis show superior performances of the proposed estimators and tests in comparison with existing methods.",stat.ME; math.ST,preprint,http://arxiv.org/abs/2410.18021v1,arXiv,6,survival:survival function; survival:hazard function; survival:censored data
,Causal Contrastive Learning for Counterfactual Regression Over Time,Mouad El Bouchattaoui; Myriam Tami; Benoit Lepetit; Paul-Henry Cournède,4,2024,6,arXiv,arXiv,"Estimating treatment effects over time holds significance in various domains, including precision medicine, epidemiology, economy, and marketing. This paper introduces a unique approach to counterfactual regression over time, emphasizing long-term predictions. Distinguishing itself from existing models like Causal Transformer, our approach highlights the efficacy of employing RNNs for long-term forecasting, complemented by Contrastive Predictive Coding (CPC) and Information Maximization (InfoMax). Emphasizing efficiency, we avoid the need for computationally expensive transformers. Leveraging CPC, our method captures long-term dependencies in the presence of time-varying confounders. Notably, recent models have disregarded the importance of invertible representation, compromising identification assumptions. To remedy this, we employ the InfoMax principle, maximizing a lower bound of mutual information between sequence data and its representation. Our method achieves state-of-the-art counterfactual estimation results using both synthetic and real-world data, marking the pioneering incorporation of Contrastive Predictive Encoding in causal inference.",cs.LG; stat.ME,preprint,http://arxiv.org/abs/2406.00535v3,arXiv,6,causal:causal inference; causal:counterfactual; causal:treatment effect
10.1609/aaai.v39i14.33626,A Practical Approach to Causal Inference over Time,Martina Cinquini; Isacco Beretta; Salvatore Ruggieri; Isabel Valera,4,2024,10,arXiv,arXiv,"In this paper, we focus on estimating the causal effect of an intervention over time on a dynamical system. To that end, we formally define causal interventions and their effects over time on discrete-time stochastic processes (DSPs). Then, we show under which conditions the equilibrium states of a DSP, both before and after a causal intervention, can be captured by a structural causal model (SCM). With such an equivalence at hand, we provide an explicit mapping from vector autoregressive models (VARs), broadly applied in econometrics, to linear, but potentially cyclic and/or affected by unmeasured confounders, SCMs. The resulting causal VAR framework allows us to perform causal inference over time from observational time series data. Our experiments on synthetic and real-world datasets show that the proposed framework achieves strong performance in terms of observational forecasting while enabling accurate estimation of the causal effect of interventions on dynamical systems. We demonstrate, through a case study, the potential practical questions that can be addressed using the proposed causal VAR framework.",cs.AI; cs.LG; math.NA,preprint,http://arxiv.org/abs/2410.10502v1,arXiv,6,causal:causal inference; causal:causal model; causal:structural causal
10.12677/sa.2021.101002,Application of Survival Analysis in Customer Churn Prediction Model,杨 骆,1,2021,,Statistics and Application,Hans Publishers,,,journal-article,https://doi.org/10.12677/sa.2021.101002,CrossRef,6,survival:survival analysis; forecasting:customer churn; forecasting:churn prediction
